Speaker,Sex,Word,repetition,context,vowel,Label,Duration,F2_01,F2_02,F2_03,F2_04,F2_05,F2_06,F2_07,F2_08,F2_09,F2_10,F2_11
SP01,Male,2aataa,rep01,Plain,a:,V2,175.91,1499.651,1525.822,1497.88,1462.394,1432.976,1420.62,1418.657,1411.432,1401.469,1427.69,1395.941
SP01,Male,2aataa,rep02,Plain,a:,V2,142.93,1518.293,1519.524,1512.37,1514.122,1506.177,1485.721,1481.227,1490.996,1476.558,1491.409,1505.612
SP01,Male,2aataa,rep03,Plain,a:,V2,107.74,1538.563,1552.736,1556.219,1549.627,1526.859,1530.18,1549.542,1542.916,1563.437,1576.836,1572.278
SP01,Male,2aaTaa,rep01,Pharyngealised,a:,V2,144.62,1046.079,1106.859,1126.997,1115.21,1125.461,1144.747,1168.961,1180.413,1169.946,1146.664,1190.907
SP01,Male,2aaTaa,rep02,Pharyngealised,a:,V2,140.95,1228.871,1241.635,1260.665,1245.947,1234.416,1228.014,1220.363,1216.254,1220.634,1222.093,1222.938
SP01,Male,2aaTaa,rep03,Pharyngealised,a:,V2,107.75,1156.431,1164.603,1171.019,1173.091,1170.695,1161.727,1150.055,1135.212,1091.679,1094.399,1115.381
SP01,Male,2iitii,rep01,Plain,i:,V2,184.13,2268.767,2243.8,2280.739,2281.427,2298.858,2321.982,2307.829,2314.888,2309.974,2394.642,2442.471
SP01,Male,2iitii,rep02,Plain,i:,V2,191.94,2217.814,2196.522,2219.203,2221.902,2234.531,2259.624,2276.278,2290.546,2283.004,2380.603,2398.42
SP01,Male,2iitii,rep03,Plain,i:,V2,171.75,2140.462,2152.25,2182.093,2208.117,2236.198,2250.921,2261.998,2279.375,2302.547,2415.156,2448.502
SP01,Male,2iiTii,rep01,Pharyngealised,i:,V2,212.07,1336.974,1441.553,1591.731,1747.403,1889.328,2007.41,2075.168,2115.59,2130.389,2151.322,2202.941
SP01,Male,2iiTii,rep02,Pharyngealised,i:,V2,220.9,1746.247,1822.432,1888.807,1943.296,2011.399,2069.56,2129.777,2191.022,2258.315,2305.86,2240.415
SP01,Male,2iiTii,rep03,Pharyngealised,i:,V2,183.36,1554.66,1603.078,1698.405,1814.355,1936.161,2030.281,2100.943,2153.38,2243.749,2245.731,2151.609
SP01,Male,2uutuu,rep01,Plain,u:,V2,196.16,1205.642,1080.237,989.25,939.054,908.33,889.475,885.615,870.061,843.824,813.459,778.017
SP01,Male,2uutuu,rep02,Plain,u:,V2,213.66,1270.22,1170.503,1069.185,992.189,960.028,907.575,883.281,864.254,858.088,838.297,832.429
SP01,Male,2uutuu,rep03,Plain,u:,V2,179.14,1150.887,1095.719,1016.351,953.984,908.076,884.826,852.934,834.821,803.408,786.961,835.377
SP01,Male,2uuTuu,rep01,Pharyngealised,u:,V2,150.49,1022.385,974.528,920.135,878.755,861.779,842.381,836.742,840.418,834.81,837.401,828.77
SP01,Male,2uuTuu,rep02,Pharyngealised,u:,V2,172.41,1005.769,890.095,865.193,841.462,851.389,832.5,793.684,769.808,752.553,750.985,789.23
SP01,Male,2uuTuu,rep03,Pharyngealised,u:,V2,172.58,908.679,890.797,885.834,873.553,853.746,835.312,803.405,790.314,778.69,774.389,773.648
SP02,Female,2aataa,rep01,Plain,a:,V2,314.69,1687.058,1647.378,1607.959,1587.242,1577.566,1573.905,1566.76,1557.419,1546.353,1489.511,1443.122
SP02,Female,2aataa,rep02,Plain,a:,V2,303.03,1700.894,1651.263,1625.399,1610.717,1592.172,1570.735,1555.354,1535.038,1504.001,1457.317,1411.87
SP02,Female,2aataa,rep03,Plain,a:,V2,295.02,1704.851,1661.452,1637.474,1613.876,1595.201,1584.137,1580.419,1568.29,1523.062,1444.217,1398.802
SP02,Female,2aaTaa,rep01,Pharyngealised,a:,V2,311.08,1366.175,1396.679,1379.703,1365.074,1356.483,1345.636,1329.423,1300.831,1251.261,1180.057,1134.306
SP02,Female,2aaTaa,rep02,Pharyngealised,a:,V2,312.64,1403.035,1381.166,1383.587,1360.77,1346.642,1348.351,1336.942,1325.402,1292.931,1221.593,1198.8
SP02,Female,2aaTaa,rep03,Pharyngealised,a:,V2,297.62,1328.166,1329.852,1355.846,1372.834,1376.961,1374.716,1363.683,1341.235,1295.022,1229.843,1184.263
SP02,Female,2iitii,rep01,Plain,i:,V2,364.87,2543.841,2595.859,2623.62,2625.352,2615.45,2616.009,2610.563,2605.643,2577.506,2560.288,2614.339
SP02,Female,2iitii,rep02,Plain,i:,V2,361.23,2559.387,2535.762,2543.256,2545.53,2548.189,2553.083,2556.525,2566.326,2568.136,2567.343,2570.536
SP02,Female,2iitii,rep03,Plain,i:,V2,331.09,2468.535,2504.006,2516.743,2546.591,2562.394,2559.476,2560.338,2571.206,2583.998,2560.566,2563.824
SP02,Female,2iiTii,rep01,Pharyngealised,i:,V2,435.63,1690.398,2133.575,2364.155,2480.547,2509.058,2517.843,2529.796,2534.683,2540.341,2538.794,2528.671
SP02,Female,2iiTii,rep02,Pharyngealised,i:,V2,385.8,1565.892,1844.828,2201.409,2377.51,2394.877,2432.901,2484.25,2506.059,2515.723,2509.617,2521.852
SP02,Female,2iiTii,rep03,Pharyngealised,i:,V2,370.88,1622.989,1939.668,2253.614,2357.644,2396.081,2464.768,2497.706,2494.24,2474.014,2473.992,2478.877
SP02,Female,2uutuu,rep01,Plain,u:,V2,383.79,1288.942,1070.058,1045.295,994.456,975.913,966.392,940.992,934.499,936.384,875.741,782.82
SP02,Female,2uutuu,rep02,Plain,u:,V2,328.55,1392.16,1240.487,1097.723,1015.145,1008.352,1007.039,1003.663,998.322,991.217,972.812,910.621
SP02,Female,2uutuu,rep03,Plain,u:,V2,313.75,1438.514,1277.337,1206.927,1072.632,1010.44,994.895,992.054,983.675,969.889,960.214,893.187
SP02,Female,2uuTuu,rep01,Pharyngealised,u:,V2,415.86,1104.822,986.638,910.053,838.73,811.098,812.164,821.509,820.134,802.846,764.335,778.135
SP02,Female,2uuTuu,rep02,Pharyngealised,u:,V2,374.18,1182.308,1053.415,988.325,940.364,907.18,897.448,892.998,890.21,884.276,877.246,790.018
SP02,Female,2uuTuu,rep03,Pharyngealised,u:,V2,363.53,1157.771,1048.295,957.418,884.335,862.795,901.114,932.114,921.82,897.286,833.362,735.228
